Id,Country,City,Latitude,Longitude,Altitude,"position.minLat","position.maxLat","position.minLong","position.maxLong","position.lat","position.long","position.Altitude"
160,Albania,Shejleret,"41.3072222","19.8858337","253.0","41.302222199999996","41.3122222","19.8808337","19.890833699999998","41.3072222","19.8858337","253.0"
161,Albania,Kokli,"41.3091667","19.9286118","665.0","41.304166699999996","41.3141667","19.9236118","19.933611799999998","41.3091667","19.9286118","665.0"
162,Albania,Shugyrk,"41.4400000","19.9302769","429.0","41.434999999999995","41.445","19.9252769","19.935276899999998","41.44","19.9302769","429.0"
163,Albania,Metaj,"41.4933333","19.9052773","695.0","41.4883333","41.498333300000006","19.900277300000003","19.9102773","41.4933333","19.9052773","695.0"
164,Albania,Marice,"41.4216667","19.9591675","585.0","41.4166667","41.426666700000006","19.9541675","19.9641675","41.4216667","19.9591675","585.0"
165,Albania,Panec,"41.2847222","20.0063896","516.0","41.279722199999995","41.2897222","20.0013896","20.011389599999998","41.2847222","20.0063896","516.0"
166,Albania,"Balajt e Poshtem","41.4205556","20.1397228","1080.0","41.4155556","41.4255556","20.134722800000002","20.1447228","41.4205556","20.1397228","1080.0"
167,Albania,Blishte,"41.4430556","20.1466675","613.0","41.4380556","41.4480556","20.1416675","20.1516675","41.4430556","20.1466675","613.0"
168,Albania,Shengjun,"41.4891667","20.1375008","577.0","41.484166699999996","41.4941667","20.132500800000003","20.1425008","41.4891667","20.1375008","577.0"
169,Albania,Rucaj,"41.4661111","20.1555557","815.0","41.4611111","41.4711111","20.1505557","20.1605557","41.4661111","20.1555557","815.0"
170,Albania,Kotaj,"41.4333333","20.2008324","1102.0","41.4283333","41.438333300000004","20.1958324","20.2058324","41.4333333","20.2008324","1102.0"
171,Albania,Peshk,"41.4055556","20.1980553","829.0","41.4005556","41.4105556","20.1930553","20.2030553","41.4055556","20.1980553","829.0"
172,Albania,Bize,"41.3408333","20.1980553","1314.0","41.3358333","41.3458333","20.1930553","20.2030553","41.3408333","20.1980553","1314.0"
173,Albania,Berberaj,"41.3144444","20.2027779","1087.0","41.3094444","41.3194444","20.197777900000002","20.2077779","41.3144444","20.2027779","1087.0"
174,Albania,Panjet,"41.3208333","20.1561108","1323.0","41.315833299999994","41.3258333","20.1511108","20.1611108","41.3208333","20.1561108","1323.0"
175,Albania,Ruc,"41.3219444","20.1105556","912.0","41.3169444","41.3269444","20.105555600000002","20.1155556","41.3219444","20.1105556","912.0"
176,Albania,Marice,"41.4380556","20.0222225","1096.0","41.433055599999996","41.4430556","20.017222500000003","20.0272225","41.4380556","20.0222225","1096.0"
177,Albania,Xhyre,"41.2869444","20.0283337","862.0","41.2819444","41.291944400000006","20.023333700000002","20.0333337","41.2869444","20.0283337","862.0"
178,Albania,"Vakumona i Siperme","41.2816667","20.0697231","1060.0","41.2766667","41.286666700000005","20.064723100000002","20.0747231","41.2816667","20.0697231","1060.0"
179,Albania,Varros,"41.3025000","20.0933342","973.0","41.2975","41.307500000000005","20.088334200000002","20.0983342","41.3025","20.0933342","973.0"
180,Albania,Tejlumaj,"41.4783333","20.0258331","686.0","41.4733333","41.483333300000005","20.0208331","20.0308331","41.4783333","20.0258331","686.0"
181,Albania,Bic,"41.2825000","20.1458340","1011.0","41.277499999999996","41.2875","20.140834","20.150834","41.2825","20.145834","1011.0"
